"Apptrian Extensions","Apptrian Extensions"
"Facebook Pixel and Conversions API","Facebook Pixel and Conversions API"
"About","About"
"Facebook Pixel (Client-Side Settings)","Facebook Pixel (Client-Side Settings)"
"Enabled","Enabled"
"Enables or disables Facebook Pixel.","Enables or disables Facebook Pixel."
"Facebook Pixel ID","Facebook Pixel ID"
"Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>","Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>"
"You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>","You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>"
"Add Facebook Pixel To","Add Facebook Pixel To"
"Type page handles (full action names) where you want Facebook Pixel.","Type page handles (full action names) where you want Facebook Pixel."
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear.","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear."
"Enable Facebook Pixel Base Code","Enable Facebook Pixel Base Code"
"Enable Facebook Pixel base code. <strong>WARNING! See the tooltip.</strong>","Enable Facebook Pixel base code. <strong>WARNING! See the tooltip.</strong>"
"This option enables Facebook Pixel base code. The base code is required for Facebook Pixel to function. If you want to use Facebook Conversions API only, you may disable it.","This option enables Facebook Pixel base code. The base code is required for Facebook Pixel to function. If you want to use Facebook Conversions API only, you may disable it."
"Enable noscript Tag","Enable noscript Tag"
"Enable noscript tag. <strong>See the tooltip.</strong>","Enable noscript tag. <strong>See the tooltip.</strong>"
"This option enables noscript tag. The noscript tag defines an alternate content to be displayed to users that have disabled scripts in their browser or have a browser that does not support scripts. There is no need for noscript tag because Magento requires scripts to function.","This option enables noscript tag. The noscript tag defines an alternate content to be displayed to users that have disabled scripts in their browser or have a browser that does not support scripts. There is no need for noscript tag because Magento requires scripts to function."
"Enable AddToCart Event","Enable AddToCart Event"
"Enable AddToCart event on client-side. <strong>See the tooltip.</strong>","Enable AddToCart event on client-side. <strong>See the tooltip.</strong>"
"This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel.","This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel."
"Enable AddToWishlist Event","Enable AddToWishlist Event"
"Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>","Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>"
"Enable CompleteRegistration Event","Enable CompleteRegistration Event"
"Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>","Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>"
"Enable InitiateCheckout Event","Enable InitiateCheckout Event"
"Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>","Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>"
"Enable PageView Event","Enable PageView Event"
"Enable PageView event on client-side. <strong>See the tooltip.</strong>","Enable PageView event on client-side. <strong>See the tooltip.</strong>"
"Fire PageView With All Events","Fire PageView With All Events"
"Fire PageView event with all other events. <strong>See the tooltip.</strong>","Fire PageView event with all other events. <strong>See the tooltip.</strong>"
"This option will fire PageView event with all other events: CompleteRegistration, InitiateCheckout, Purchase, Search, and ViewContent.","This option will fire PageView event with all other events: CompleteRegistration, InitiateCheckout, Purchase, Search, and ViewContent."
"Enable Purchase Event","Enable Purchase Event"
"Enable Purchase event on client-side. <strong>See the tooltip.</strong>","Enable Purchase event on client-side. <strong>See the tooltip.</strong>"
"Enable Search Event","Enable Search Event"
